package,has_py_typed,has_types_package
versioneer,False,False
google-cloud-workflows,True,
itemloaders,True,
sse-starlette,True,
jupyterlab-widgets,False,False
antlr4-python3-runtime,False,True
azure-communication-email,True,
oauth2client,False,False
flatbuffers,False,False
trl,False,False
terminado,True,
opentelemetry-instrumentation-sqlite3,True,
uri-template,True,
setproctitle,True,
j2cli,False,False
google-cloud-language,True,
structlog,True,
pycairo,True,
google-cloud-dataform,True,
async-lru,True,
mss,True,
duckduckgo-search,True,
robotframework-requests,False,False
rfc3986,False,False
imageio,True,
pyscreeze,False,True
django-health-check,False,False
google-cloud-videointelligence,True,
tentaclio,False,False
wikipedia,False,False
flask-talisman,False,False
notebook-shim,False,False
aws-lambda-powertools,True,
deprecation,False,False
amazon-textract-caller,False,False
pytweening,False,False
opentelemetry-instrumentation-langchain,False,False
google-cloud-os-login,True,
inflection,False,False
nvidia-nccl-cu12,False,False
google-cloud-redis,True,
django,False,False
click-plugins,False,False
xgboost,True,
delta-spark,True,
progressbar2,True,
pytest-github-actions-annotate-failures,False,False
html5lib,False,True
schema,False,False
coloredlogs,False,False
sphinxcontrib-websupport,True,
opentelemetry-resourcedetector-docker,True,
azure-mgmt-core,True,
thrift,False,False
anthropic,True,
opentelemetry-instrumentation-haystack,False,False
grimp,True,
mock,False,True
xxhash,True,
fugue,False,False
sagemaker,True,
pysubs2,True,
jupyter-lsp,False,False
lazy-object-proxy,False,False
python-utils,True,
keystoneauth1,True,
tox,True,
outcome,True,
jsonnet,False,True
textwrap3,False,False
pymssql,True,
google-cloud-audit-log,False,False
opentelemetry-instrumentation-milvus,False,False
apache-airflow-providers-apache-spark,False,False
opentelemetry-instrumentation-mistralai,False,False
ydata-profiling,False,False
google-cloud-dataproc,True,
langchain-text-splitters,True,
gspread,True,
pathos,False,False
snakeviz,False,False
devtools,True,
pybytebuffer,False,False
langchain-community,True,
argparse-addons,False,False
snowflake-snowpark-python,True,
fastavro,True,
google-cloud-bigquery-datatransfer,True,
trio-websocket,True,
pox,False,False
opencv-python,True,
types-boto3-s3,True,
types-pytz,True,
ppft,False,False
prometheus-api-client,False,False
shellingham,False,False
msgpack,False,False
rfc3339-validator,False,True
lz4,False,False
networkx,False,True
webencodings,False,False
pymysql,False,True
rfc3986-validator,False,False
nvidia-cuda-runtime-cu12,False,False
matplotlib-inline,False,False
kubernetes,False,False
poetry-plugin-export,False,False
botocore-stubs,True,
google-cloud-texttospeech,True,
pre-commit,False,False
cfgv,False,False
unidecode,True,
shapely,False,True
tiktoken,False,False
databricks-sdk,False,False
flask-cors,False,True
azure-common,False,False
ijson,False,False
multiprocess,False,False
httptools,False,False
pycountry,True,
python-http-client,False,True
text-unidecode,False,False
pytest-runner,False,False
pyspnego,True,
ua-parser,True,
mlflow,True,
opentelemetry-instrumentation-dbapi,True,
zope-interface,False,False
spacy-loggers,False,False
pytest-html,False,False
office365-rest-python-client,False,False
simplejson,False,True
pandocfilters,False,False
jupyterlab-pygments,False,False
opentelemetry-instrumentation-django,False,False
gcsfs,False,False
nvidia-nvtx-cu12,False,False
monotonic,False,False
azure-mgmt-datalake-store,False,False
strenum,True,
strictyaml,False,False
asyncio,False,False
flask-jwt-extended,True,
ua-parser-builtins,True,
numba,False,False
contextlib2,True,
h5py,False,False
croniter,False,True
ipython-genutils,False,False
db-dtypes,False,False
azure-mgmt-servicebus,True,
azure-mgmt-cognitiveservices,True,
ecdsa,False,False
paginate,False,False
types-protobuf,False,False
azure-mgmt-billing,True,
pyodbc,False,False
pdm,True,
azure-mgmt-advisor,False,False
sqlalchemy-bigquery,False,False
zopfli,False,False
retry,False,True
ipython-pygments-lexers,False,False
pyrfc3339,True,
gevent,False,True
pyhive,False,False
langgraph-prebuilt,True,
readchar,True,
mcp-server-fetch,False,False
nvidia-cufile-cu12,False,False
python-jenkins,False,True
flask-appbuilder,False,False
magicattr,False,False
apache-airflow-providers-imap,False,False
psycopg-pool,True,
ddsketch,True,
freezegun,True,
tf-keras-nightly,False,False
ansible-lint,True,
apache-airflow-providers-docker,False,False
pydantic-ai-slim,True,
beartype,True,
pyelftools,False,False
azure-monitor-opentelemetry,True,
smdebug-rulesconfig,False,False
azure-core-tracing-opentelemetry,True,
amqp,False,False
pdfplumber,True,
nh3,True,
hdfs,False,False
vine,False,False
mypy-boto3-glue,True,
types-awscrt,True,
retrying,False,False
pyhcl,False,False
xyzservices,False,False
langchain-openai,True,
billiard,False,False
peft,True,
gremlinpython,False,False
humanize,True,
google-apitools,False,False
pydantic-ai,False,False
opentelemetry-instrumentation-redis,True,
pycomposefile,False,False
pytest-unordered,True,
graphviz,False,False
google-cloud-automl,True,
memray,True,
azure-mgmt-redhatopenshift,True,
sendgrid,False,False
apprise,True,
graphql-relay,True,
aws-cdk-integ-tests-alpha,True,
dunamai,True,
pyogrio,False,False
pandas-stubs,True,
mashumaro,True,
azure-mgmt-mysqlflexibleservers,True,
backports-asyncio-runner,True,
aiomysql,False,False
gcloud-aio-storage,True,
pybind11,True,
pytest-custom-exit-code,False,False
google-cloud-dataproc-metastore,True,
uvicorn-worker,False,False
publication,False,False
types-s3transfer,True,
boto3-stubs,True,
simple-salesforce,True,
google,False,False
python-on-whales,True,
py-deviceid,False,False
semantic-version,False,False
pyee,True,
tokenize-rt,False,False
orbax-checkpoint,False,False
pinecone-plugin-interface,True,
tableauserverclient,True,
pypika,False,False
zope-event,False,False
types-jsonschema,True,
allure-python-commons,True,
aiosqlite,True,
pytest-metadata,False,False
async-property,False,False
great-expectations,True,
azure-cosmos,True,
python-hcl2,True,
dependency-groups,True,
cairosvg,False,False
pygsheets,False,False
opentelemetry-instrumentation-asgi,False,False
agate,False,False
langchain-google-vertexai,True,
readme-renderer,True,
gast,False,False
statsmodels,False,False
astronomer-cosmos,False,False
opentelemetry-instrumentation-fastapi,False,False
pytimeparse,False,False
ninja,True,
langchain-anthropic,True,
robotframework,False,False
wandb,True,
microsoft-kiota-serialization-multipart,True,
base58,True,
prettytable,True,
lockfile,False,False
pywin32,False,True
patsy,False,False
opentelemetry-instrumentation-botocore,False,False
mergedeep,False,False
construct,False,False
timezonefinder,True,
dbt-fabric,False,False
pygit2,True,
alabaster,False,False
litellm,True,
google-cloud-run,True,
ydb-dbapi,False,False
mlflow-skinny,True,
moto,True,
playwright,True,
imagesize,False,False
usaddress,False,False
sphinxcontrib-serializinghtml,True,
rich-toolkit,True,
twine,True,
psycopg,True,
yamllint,False,False
pytest-timeout,False,False
opt-einsum,False,False
ml-dtypes,True,
cvxpy,False,False
mdit-py-plugins,True,
mypy-boto3-s3,True,
polars,True,
sphinxcontrib-htmlhelp,True,
parsedatetime,False,False
sphinxcontrib-applehelp,True,
types-tqdm,True,
sphinxcontrib-qthelp,True,
plaster,False,False
gcloud-aio-bigquery,True,
sphinxcontrib-devhelp,False,False
pip-tools,True,
python-telegram-bot,True,
fastapi-cli,True,
elastic-transport,True,
azure-mgmt-resource,True,
vulture,False,False
mizani,True,
arviz,True,
pulumi-tls,True,
python-vagrant,True,
sqlglot,True,
pip-audit,False,False
types-setuptools,True,
azureml-sdk,False,False
inspect-ai,True,
yamale,False,False
python-jose,False,True
dask,True,
leather,False,False
tldextract,True,
validators,True,
sqlfluff-templater-dbt,False,False
scs,False,False
pypdf,True,
gcloud-aio-auth,True,
ansi2html,True,
pypdf2,True,
jupyter-ydoc,True,
google-cloud-datacatalog,True,
bs4,False,False
mysqlclient,False,True
choreographer,False,False
apache-airflow-providers-microsoft-azure,False,False
docker-pycreds,False,False
dacite,True,
mypy-boto3-ecr,True,
holidays,True,
makefun,True,
posthog,True,
databricks-sqlalchemy,True,
xformers,False,False
pykerberos,False,False
jira,True,
flask-sqlalchemy,True,
alibabacloud-tea-util,False,False
resolvelib,True,
elevenlabs,True,
cron-descriptor,False,False
google-cloud-container,True,
bracex,True,
structlog-sentry,True,
cached-property,False,False
scikit-image,True,
betterproto,False,False
requests-mock,True,
hyperlink,True,
ephem,False,False
types-ujson,True,
backports-functools-lru-cache,False,False
azure-mgmt-relay,False,False
bytecode,True,
python-magic,True,
mypy-boto3-sns,True,
nameparser,False,False
google-cloud-build,True,
mysql-connector,False,False
azure-mgmt-scheduler,True,
ptpython,True,
zeroconf,True,
django-prometheus,False,False
openapi-spec-validator,True,
google-cloud-dataplex,True,
mypy-boto3-lakeformation,True,
tomli-w,True,
aiostream,True,
opencv-python-headless,True,
azure-mgmt-devspaces,False,False
mmh3,True,
algoliasearch,True,
azure-storage-queue,True,
flit-core,False,False
inflect,True,
azure-mgmt-storage,True,
universal-pathlib,True,
node-semver,False,False
uc-micro-py,False,False
pyproject-api,True,
apache-airflow-providers-ssh,False,False
uncertainties,False,False
ddtrace,True,
types-toml,False,False
backcall,False,False
apache-airflow-providers-fab,False,False
jsonpickle,False,False
thinc,True,
apache-airflow-providers-mysql,False,False
poethepoet,False,False
py-cpuinfo,False,False
rembg,False,False
astunparse,False,False
usort,True,
django-otp,False,False
cloudscraper,False,False
spacy,True,
wcmatch,True,
sanic,True,
limits,True,
sqlalchemy-utils,False,True
grpcio-gcp,False,False
stevedore,False,False
python-docx,True,
fasteners,False,False
watchtower,True,
weaviate-client,True,
resampy,False,False
pdoc,True,
cloudpathlib,True,
mmhash3,False,False
opencensus,False,False
ray,True,
pyathena,True,
aiohttp-socks,True,
dicttoxml,False,False
bitarray,True,
numpydoc,False,False
pytest-profiling,False,False
livekit-agents,True,
types-colorama,True,
griffe,True,
elastic-apm,True,
dbfread,False,False
psycopg-binary,True,
google-cloud-storage-transfer,True,
pinecone-client,False,False
aiodocker,True,
phonenumbers,True,
oracledb,True,
python-geohash,False,False
tinydb,True,
opencensus-context,False,False
openapi-schema-validator,True,
pydot,True,
rich-click,True,
autograd-gamma,False,False
aioboto3,False,True
stripe,True,
azure-servicebus,True,
opentelemetry-instrumentation-wsgi,True,
dagster-slack,True,
cymem,False,False
catalogue,False,False
click-option-group,True,
filetype,False,False
flake8-comprehensions,True,
levenshtein,True,
azure-batch,True,
pytest-django,True,
textual,True,
tensorflow-estimator,False,False
passlib,False,True
update-checker,False,False
msgspec,True,
brotlicffi,False,False
langcodes,True,
sentence-transformers,True,
datadog-api-client,True,
asgi-correlation-id,True,
k8,True,
flask-wtf,False,False
cssselect2,False,False
grpc-interceptor,True,
streamlit,True,
sqlalchemy-spanner,False,False
celery-redbeat,False,False
impyla,False,False
apispec,True,
pytube,False,False
emoji,True,
wasabi,True,
cssselect,True,
newrelic-telemetry-sdk,False,False
adagio,False,False
pyproj,True,
magika,True,
google-cloud-documentai,True,
orderly-set,True,
hatch-requirements-txt,True,
supervision,True,
pyroaring,True,
pathable,True,
ml-collections,False,False
frida,True,
python-gnupg,False,False
pyspark-dist-explore,False,False
anybadge,False,False
time-machine,True,
zthreading,False,False
disposable-email-domains,True,
pyright,True,
msgpack-numpy,False,False
import-linter,True,
types-dateparser,True,
latex2mathml,True,
azure-keyvault-keys,True,
docstring-to-markdown,True,
timm,True,
frozendict,True,
uuid6,True,
eval-type-backport,True,
oslo-config,False,False
azure-mgmt-containerregistry,True,
array-api-compat,True,
einops,True,
marisa-trie,False,False
faiss-cpu,False,False
avro,True,
ftfy,True,
treelib,True,
confection,True,
jaydebeapi,False,False
jax,True,
scikit-base,False,False
pinotdb,False,False
jupyter,False,False
opentelemetry-instrumentation-starlette,True,
azure-mgmt-cosmosdb,True,
logzero,False,False
types-chardet,False,False
mypy-boto3-kms,True,
tifffile,True,
fastparquet,False,False
python-gitlab,True,
boltons,False,True
rich-argparse,True,
utilsforecast,True,
types-decorator,True,
jsonschema-path,True,
ciso8601,True,
pysftp,False,True
opentelemetry-instrumentation-urllib,True,
js2py,False,False
aiohttp-retry,True,
azure-containerregistry,True,
google-ai-generativelanguage,True,
maxminddb,True,
fido2,True,
azure-mgmt-containerservice,True,
pyshark,False,False
fastapi-utils,True,
spark-nlp,False,False
jsmin,False,False
azure-keyvault-certificates,True,
azure-mgmt-containerinstance,True,
avro-python3,False,False
datetime,False,False
mypy-boto3-batch,True,
ratelimit,False,True
typish,False,False
pip-licenses,False,False
databases,True,
traceback2,False,False
pytorch-lightning,True,
django-polymorphic,False,False
docxcompose,False,False
pyside6-addons,True,
hydra-core,True,
itables,True,
torch-geometric,False,False
fastapi-cloud-cli,True,
pydantic-extra-types,True,
azure-storage-file-share,True,
cachelib,True,
onfido-python,True,
types-click,False,False
natsort,True,
azure-data-tables,True,
google-generativeai,True,
opentelemetry-instrumentation-aws-lambda,False,False
lightgbm,True,
tree-sitter,True,
homeassistant,True,
openlineage-python,True,
pyqt6-webengine,False,False
django-cors-headers,True,
partd,False,False
qdrant-client,True,
tensorflow,False,True
xarray,True,
types-redis,True,
bidict,True,
types-flask-cors,True,
pyotp,True,
extract-msg,True,
dataclasses,False,True
geoip2,True,
flask-limiter,True,
pytest-json-report,False,False
configargparse,False,False
immutabledict,True,
llama-parse,False,False
gql,True,
azure-mgmt-compute,True,
mypy-boto3-events,True,
opentelemetry-instrumentation-psycopg2,False,False
glom,False,False
types-pyopenssl,True,
junit2html,False,False
livekit-plugins-silero,True,
factory-boy,True,
valkey,True,
flake8-builtins,False,True
pytest-env,True,
segment-anything,False,False
pywin32-ctypes,False,False
hatch,True,
webauthn,True,
python-pptx,True,
opentelemetry-instrumentation-pymongo,True,
types-cffi,True,
scooby,True,
snowplow-tracker,True,
langgraph,True,
types-stripe,True,
torchmetrics,True,
rignore,True,
langgraph-api,False,False
colorcet,False,False
django-mptt,False,False
cfn-flip,False,False
ipdb,False,False
model-bakery,True,
mypy-boto3-rds,True,
requests-ntlm,True,
inline-snapshot,True,
pytest-memray,True,
trino,False,False
yapf,False,False
bandit,False,False
llama-cloud-services,False,False
jsons,False,False
deepeval,True,
microsoft-kiota-authentication-azure,True,
applicationinsights,False,False
truststore,True,
pylsqpack,True,
azure-mgmt-keyvault,True,
marshmallow-jsonschema,False,False
twilio,False,False
mutf8,False,False
langchain-huggingface,True,
livekit,True,
python-engineio,False,False
microsoft-kiota-http,True,
azure-mgmt-datafactory,True,
mkdocs,True,
azure-synapse-artifacts,True,
kt-legacy,False,False
marshmallow-sqlalchemy,True,
pi-heif,False,False
langchain-cohere,True,
sparqlwrapper,True,
junitparser,True,
types-paramiko,True,
apache-airflow-providers-odbc,False,False
opentelemetry-test-utils,False,False
python-socketio,False,False
unstructured-client,True,
opentelemetry-instrumentation-anthropic,False,False
incremental,True,
pycares,True,
azure-mgmt-authorization,True,
protego,True,
types-deprecated,True,
azure-monitor-opentelemetry-exporter,True,
synchronicity,True,
pywavelets,False,False
argh,True,
hiredis,True,
optree,True,
azure-mgmt-msi,True,
lightning-utilities,True,
aiodns,True,
pyyaml-env-tag,False,False
types-aiofiles,True,
socksio,True,
easygui,False,False
py-spy,False,False
django-mathfilters,False,False
geckodriver-autoinstaller,False,False
statsd,False,False
aioquic,True,
duckdb-engine,True,
ag-ui-protocol,True,
simple-websocket,False,False
html2text,True,
methodtools,False,False
geographiclib,False,False
webdriver-manager,True,
tree-sitter-cpp,True,
apache-airflow-providers-slack,False,False
tree-sitter-c-sharp,True,
mkdocs-material-extensions,False,False
meson,False,False
azure-synapse-spark,True,
atlassian-python-api,True,
grpclib,True,
sudachidict-core,False,False
motor,True,
cachy,False,False
onnx,True,
langchain-mcp-adapters,False,False
flask-babel,False,False
aiohttp-cors,True,
singer-sdk,True,
weasyprint,False,False
watchgod,True,
awscliv2,True,
cohere,True,
asyncssh,True,
json-repair,True,
aioresponses,True,
litestar,True,
jaxlib,True,
types-tabulate,True,
jinja2-cli,False,False
pypinyin,True,
ormsgpack,True,
httpx-aiohttp,True,
twisted,True,
microsoft-kiota-abstractions,True,
pinecone,True,
colorful,False,False
azure-mgmt-monitor,True,
uhashring,False,False
pebble,True,
azure-monitor-query,True,
markitdown,True,
pyperclip,False,True
types-werkzeug,False,False
clickhouse-connect,True,
flake8-eradicate,False,False
pgvector,False,False
pika,False,True
pytest-split,True,
mkdocstrings-python,True,
tree-sitter-language-pack,True,
hnswlib,False,True
donfig,False,False
natto-py,False,False
pydash,True,
azure-mgmt-web,True,
azure-eventhub,True,
minio,False,False
qtpy,True,
types-docutils,True,
cloudevents,True,
blessed,True,
bashlex,False,False
opencensus-ext-azure,False,False
azure-mgmt-redis,True,
fakeredis,True,
azure-appconfiguration,True,
deltalake,True,
langgraph-sdk,True,
databricks-labs-blueprint,False,False
pyobjc-core,False,False
hishel,True,
inputimeout,False,False
pysam,True,
enum34,False,True
unearth,True,
pytest-docker-tools,False,False
temporalio,True,
flake8-quotes,False,False
flask-caching,True,
azure-mgmt-sql,False,False
azure-mgmt-trafficmanager,True,
h3,False,False
apache-airflow-providers-common-compat,False,False
ariadne-codegen,True,
red-discordbot,True,
mypy-boto3-sqs,True,
types-bleach,True,
pre-commit-uv,True,
lkml,True,
types-dataclasses,False,False
azure-mgmt-cdn,True,
mkdocs-get-deps,True,
types-markdown,True,
azure-mgmt-eventhub,True,
idem-aws,False,False
pyngrok,False,False
azure-mgmt-batch,True,
waitress,False,True
prefect,True,
azure-mgmt-search,True,
azure-mgmt-loganalytics,False,False
taskgroup,True,
jellyfish,True,
slackclient,True,
xmlsec,True,
prison,False,False
litestar-htmx,True,
azure-mgmt-recoveryservices,True,
dep-logic,True,
qrcode,False,True
python-amazon-sp-api,False,False
zstd,False,True
ibm-cloud-sdk-core,False,False
azure-mgmt-iothub,True,
iso8601,True,
types-passlib,True,
tree-sitter-html,True,
jsonlines,True,
microsoft-kiota-serialization-text,True,
dvc-task,True,
azure-mgmt-applicationinsights,True,
azure-mgmt-eventgrid,True,
microsoft-kiota-serialization-json,True,
office365,False,False
types-cachetools,True,
protoc-gen-openapiv2,False,False
django-extensions,True,
opentelemetry-instrumentation-httpx,True,
azure-mgmt-media,True,
google-cloud-datastore,False,False
azure-mgmt-servicefabric,True,
blessings,False,False
azure-mgmt-batchai,True,
fixedint,True,
azure-mgmt-signalr,True,
azure-mgmt-maps,True,
autopep8,False,False
sbvirtualdisplay,False,False
expecttest,True,
questionary,True,
pyannote-audio,False,False
fs,True,
azure-mgmt-policyinsights,False,False
automat,True,
pyproject-metadata,True,
pybase64,True,
nats-py,False,False
apache-airflow-providers-smtp,False,False
flask-basicauth,False,False
crayons,False,False
opentelemetry-instrumentation-logging,False,False
pdf2image,True,
schedule,True,
pure-sasl,False,False
cmdstanpy,True,
tree-sitter-toml,True,
tree-sitter-css,True,
rdflib,True,
std-uritemplate,True,
fireworks-ai,False,False
types-croniter,True,
jupyter-highlight-selected-word,False,False
holoviews,False,False
pandas-market-calendars,False,False
pydyf,False,False
curlify,False,False
pathvalidate,True,
opentelemetry-container-distro,True,
replicate,True,
optuna,True,
datamodel-code-generator,True,
memory-profiler,False,False
starkbank-ecdsa,False,False
keyrings-codeartifact,False,False
roman-numerals-py,True,
service-identity,True,
requirements-parser,True,
pandera,True,
tabula-py,True,
opentelemetry-distro,True,
locust,True,
pooch,False,False
curl-cffi,True,
mypy-boto3-dynamodb,True,
patchright,True,
dpath,True,
codeowners,True,
python-logging-loki,False,False
distributed,True,
pathlib,False,False
types-pymysql,True,
blobfile,True,
cligj,False,False
stable-baselines3,True,
clickhouse-driver,False,False
torchtext,False,False
azure-mgmt-privatedns,True,
python-semantic-release,True,
environs,True,
azure-mgmt-kusto,True,
